,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.5689638305085595,,Intercept,384.34942960453725,384.0,-0.34942960453724936,384.0
1,1,grade:A,1.1116143940018586,3.753207084358822e-33,grade,84.53488186363424,85.0,0.46511813636575994,84.0
2,2,grade:B,0.8873809826032474,1.9469591004184316e-47,grade,67.48261531801987,67.0,-0.48261531801986735,67.0
3,3,grade:C,0.6885189047521298,9.294357645885172e-34,grade,52.3597612518886,52.0,-0.35976125188859953,52.0
4,4,grade:D,0.5126564353509002,2.3231388389929046e-21,grade,38.985957210399114,39.0,0.014042789600885897,39.0
5,5,grade:E,0.3617573327931697,5.995326658037627e-14,grade,27.51054102572451,28.0,0.48945897427548957,28.0
6,6,grade:F,0.21467612403651654,1.99537487370054e-05,grade,16.32546401188421,16.0,-0.32546401188421115,16.0
7,7,home_ownership:OWN,0.07553894813768688,0.0001798870029950084,home_ownership,5.744506450599162,6.0,0.2554935494008381,6.0
8,8,home_ownership:MORTGAGE,0.10923725922593124,1.0270993082274825e-17,home_ownership,8.307160156974225,8.0,-0.3071601569742253,8.0
9,9,addr_state:ME_DC_WY_WV_VT_MS,0.489534202551326,1.4070162299924183e-19,addr_state,37.227581978230084,37.0,-0.2275819782300843,37.0
10,10,addr_state:NY,0.07562765933079894,0.0019391188057993082,addr_state,5.751252666076557,6.0,0.2487473339234434,6.0
11,11,addr_state:RI_NM_NC_OK_SD_VA_LA,0.06363988435066946,0.007710487033535342,addr_state,4.839618967177744,5.0,0.16038103282225613,5.0
12,12,addr_state:MD_NJ_MO,0.0636197949416184,0.010978305983839311,addr_state,4.838091228935054,5.0,0.1619087710649456,5.0
13,13,addr_state:CA,0.08446468216196647,7.724694956329803e-05,addr_state,6.4232812805762505,6.0,-0.4232812805762505,6.0
14,14,addr_state:ID_TN,0.031554903578012286,0.5257494255118832,addr_state,2.3996541071967967,2.0,-0.3996541071967967,2.0
15,15,addr_state:AZ_MI_UT_AR_PA_OH_MN_IN,0.14079891797576405,2.627152411406683e-11,addr_state,10.707327974370259,11.0,0.2926720256297415,11.0
16,16,addr_state:KY_MA_GA_WA_WI_DE,0.1857747549554336,4.756307077832675e-15,addr_state,14.1276031042262,14.0,-0.1276031042261998,14.0
17,17,addr_state:OR_IL,0.263000470464236,7.763641483768365e-19,addr_state,20.000383065152402,20.0,-0.00038306515240194017,20.0
18,18,addr_state:TX,0.25614634199488195,2.0578615303972156e-22,addr_state,19.47914751480197,19.0,-0.47914751480196927,19.0
19,19,addr_state:CT_SC_AK,0.3268487110342768,1.881705582364672e-18,addr_state,24.855846886881462,25.0,0.14415311311853785,25.0
20,20,addr_state:KS_CO_MT_NH,0.3643154555020022,6.71321826045546e-26,addr_state,27.705078449988445,28.0,0.29492155001155496,28.0
21,21,verification_status:Source Verified,-0.023367730605340902,0.08422007653546335,verification_status,-1.777044591004478,-2.0,-0.2229554089955219,-2.0
22,22,verification_status:Not Verified,0.08781493082422726,2.504999200458877e-09,verification_status,6.678057465920914,7.0,0.3219425340790858,7.0
23,23,purpose:med_wed_vac,0.18474620661393765,3.20499087441347e-06,purpose,14.049385142126606,14.0,-0.049385142126606496,14.0
24,24,purpose:debt_consolidation,0.08452674930726718,7.2580537936934544e-06,purpose,6.428001297538895,6.0,-0.42800129753889493,6.0
25,25,purpose:hi_mp_car,0.16457464963303461,2.0452936995607506e-10,purpose,12.515399800098592,13.0,0.4846001999014078,13.0
26,26,purpose:credit_card,0.19619039249596643,3.720412069595665e-19,purpose,14.919680549223644,15.0,0.08031945077635605,15.0
27,27,initial_list_status:w,0.04902385432081873,0.00020132899177014148,initial_list_status,3.728114493543971,4.0,0.2718855064560288,4.0
28,28,term:36,0.07339081737980563,2.1957474494714393e-07,term,5.581147662853177,6.0,0.4188523371468227,6.0
29,29,emp_length:1,0.10559257779922167,5.320371749930204e-05,emp_length,8.029993258542573,8.0,-0.029993258542573287,8.0
30,30,emp_length:2-4,0.12059174681314243,2.33778490250025e-10,emp_length,9.170634282521933,9.0,-0.1706342825219327,9.0
31,31,emp_length:5-6,0.08211553614178396,0.00013537944361794306,emp_length,6.244635895658518,6.0,-0.24463589565851773,6.0
32,32,emp_length:7-9,0.08553283591881047,4.7892938894351265e-05,emp_length,6.504511113631879,7.0,0.49548888636812105,7.0
